Date,Industrial_Production_Index_UK,Exchange_Rate_UK,International_Reserves_UK,CPI_Index_UK,Industrial_Production_Index_Germany,Exchange_Rate_Germany,International_Reserves_Germany,CPI_Index_Germany
1989-03-01,88.7473857157214,0.583088,46872.4508577117,55.4836323284631,81.9039750720576,1.8653,62203.5672777943,65.2488668000327
1989-04-01,80.0302966276568,0.588154,47374.7059379899,56.0384686517477,79.7800340412233,1.8704,63627.8443127155,65.6684701354726
1989-05-01,80.6794415597467,0.613493,45042.1078224101,56.4823377103754,73.9852817193623,1.9503,62246.0999899185,65.7384059083522
1989-06-01,80.4939715791496,0.64408,42832.4179878353,56.5933049750324,79.8521678875535,1.9809,62791.9112636095,65.8083416812318
1989-07-01,74.6516671903403,0.616559,43803.0252349685,56.5933049750324,74.69860531085,1.8941,64246.3166314571,65.7384059083522
1989-08-01,75.5790170933259,0.626031,42456.3703676003,56.7042722396893,71.6529540213519,1.926,63868.9093723527,65.7384059083522
1989-09-01,81.7922614433294,0.636873,42935.607330714,57.148141298317,81.9761089183878,1.9526,65039.4711131061,65.8083416812318
1989-10-01,86.3362759679588,0.629829,40561.9393288865,57.5920103569447,87.2739391877518,1.8665,66984.0196065239,66.0181376980328
1989-11-01,88.7473857157214,0.635778,39497.2686686326,57.8139448862585,84.7332248225651,1.8305,67299.9465814313,66.158009243792
1989-12-01,79.4738866858654,0.626893,40225.4688937367,57.9249121509155,80.4212237863809,1.7414,68770.8746178595,66.3678165624309
1990-01-01,81.884996433628,0.605595,40099.6801877038,58.1468466802293,78.3694166018768,1.6918,68950.3667233367,66.7174841249911
1990-02-01,80.4939715791496,0.589663,40093.2900014485,58.701683003514,78.5858181408675,1.676,69982.7949030696,66.9972272165096
1990-03-01,91.158495463484,0.61546,39314.3752374015,58.9236175328278,87.1296714950913,1.7045,69567.6986922397,66.9972272165096
1990-04-01,79.1956817149698,0.611011,39214.9022363468,60.3661919733678,79.7800340412234,1.6882,69701.9849596987,67.137087460431
1990-05-01,82.1632014045237,0.595893,39053.0853068133,61.0319955613094,81.2708001987146,1.6617,70727.7233721584,67.2769590061902
1990-06-01,81.3285864918367,0.585561,39481.4263927134,61.2539300906233,81.7597073793972,1.684,71640.0798160129,67.3468947790698
1990-07-01,76.0426920448188,0.55355,40239.1740911698,61.2539300906233,78.7942048080437,1.6399,71072.396009484,67.3468947790698
1990-08-01,75.1153421418332,0.526976,40949.7835294444,61.8087664139079,75.9649550575362,1.5707,72425.7385732047,67.5567020977087
1990-09-01,79.1029467246713,0.532042,40960.6029800863,62.3636027371925,86.4964966217483,1.5697,73197.5736206214,67.7665094163475
1990-10-01,87.2636258709445,0.51423,41130.7369083729,62.9184390604772,92.643903303446,1.5233,75011.9268302281,68.256048524667
1990-11-01,86.7072159291532,0.509196,40984.7528000114,63.140373589791,89.4619991931018,1.487,76166.0747088573,68.1161769789078
1990-12-01,77.8046568604915,0.518949,41088.4628473062,63.2513408544479,83.8115145639013,1.492,77064.2076742664,68.1861127517874
1991-01-01,81.050381520941,0.517223,41323.3171396597,63.2513408544479,83.0340719978978,1.51,77402.6713302511,68.6057160872272
1991-02-01,79.7520916567612,0.508804,44340.1673390534,63.4732753837618,80.8268371726373,1.4799,75426.3088215542,68.905745977763
1991-03-01,84.5743111522863,0.546677,42316.2267862191,63.8061771777326,84.8208811421564,1.6022,67097.3462679081,68.905745977763
1991-04-01,77.89739185079,0.571755,43585.5265345526,65.1377843536157,86.2923710256635,1.7031,67622.6851112441,69.2057645664609
1991-05-01,78.1755968216857,0.579301,43544.9249128453,65.6926206769003,79.6706665498817,1.717,68393.4208043737,69.4057844934847
1991-06-01,75.6717520836245,0.607077,43248.7638615033,66.0255224708711,86.2923710256635,1.7843,65246.9353456298,69.8058130456945
1991-07-01,75.3008121224303,0.607024,44299.887863184,65.8035879415572,81.9830077953928,1.7887,67323.4976509471,70.605881451952
1991-08-01,70.2003876560095,0.594139,44323.3750919179,66.4693915294988,73.679600595603,1.7452,68058.5274382331,70.605881451952
1991-09-01,77.3409819089986,0.580229,45405.9069767442,66.6913260588126,84.8208811421564,1.6981,69457.1818938493,70.605881451952
1991-10-01,84.6670461425848,0.580619,44942.8878093442,67.0242278527834,90.2864149951826,1.6915,68541.0682731132,71.7059797487452
1991-11-01,83.1832862978078,0.562644,45496.3823764946,67.1351951174403,87.028115967417,1.625,69895.6523031481,72.0059983374431
1991-12-01,77.8973918507899,0.548692,46930.9846085626,67.3571296467542,79.9859858106332,1.5695,72029.8670286827,72.106008300955
1992-01-01,78.5465367828799,0.55212,46202.649828827,67.1351951174403,81.2472628536393,1.5774,69293.4079263691,72.5060481550027
1992-02-01,79.2884167052683,0.562936,45900.0167918692,67.4680969114111,82.8238591573968,1.6197,69880.9793503238,72.9060767072125
1992-03-01,87.0781558903473,0.57991,44971.0740740741,67.8009987053819,89.2353507926776,1.6611,69974.7945882364,73.2060952959104
1992-04-01,77.9901268410885,0.569306,45658.3165219297,68.5777695579804,83.8749233599019,1.6483,71494.7126157666,73.5061251864462
1992-05-01,74.0025222582504,0.552351,46509.6176745745,69.0216386166081,79.1451344486292,1.6206,71057.0195212806,73.7061338116321
1992-06-01,78.4538017925813,0.539743,47441.6744951555,69.0216386166081,83.4544976788999,1.574,73070.3391262177,73.906153738656
1992-07-01,75.764487073923,0.521128,48128.5238865461,68.7997040872942,79.5655601296312,1.4909,72601.4735048892,74.1061736656798
1992-08-01,69.5512427239196,0.515814,48301.0628438394,68.9106713519512,70.9468336690899,1.451,76768.6877874805,74.1061736656798
1992-09-01,80.2157666082539,0.540741,45140.4102745375,69.132605881265,86.1872646054129,1.4477,129967.911140166,74.1061736656798
1992-10-01,84.7597811328833,0.603548,43348.0986545194,69.3545404105789,87.238328807918,1.4816,97306.0695749909,74.1061736656798
1992-11-01,83.6469612493006,0.655092,42370.9577486541,69.3545404105789,83.6647105194009,1.5877,94082.5685250675,74.4062035562156
1992-12-01,80.4939715791496,0.644601,41411.0270738515,69.4655076752358,77.6736445651222,1.5798,99447.8733610199,74.5062022178896
1993-01-01,76.5991019866101,0.652755,42492.3682719547,69.243573145922,69.1600245248314,1.6158,94630.305146393,75.8063204417067
1993-02-01,79.566621676164,0.695672,42836.627186283,69.5764749398927,72.3132171323465,1.6416,86216.4870483912,76.4063689209403
1993-03-01,90.3238805507969,0.68489,41277.2612341883,69.9093767338635,84.5055618814049,1.6474,78750.7089262368,76.6063775461263
1993-04-01,79.1029467246712,0.64673,42570.7913042364,70.3532457924912,75.2561968993606,1.596,78708.0108781285,76.8063974731501
1993-05-01,77.89739185079,0.645826,42710.0048282335,70.5751803218051,71.787685031094,1.60605,79234.3571123852,76.9064074366621
1993-06-01,79.1956817149698,0.661392,41616.5225278335,70.5751803218051,78.6196023473767,1.6522,76295.5715728114,77.1064273636859
1993-07-01,75.8572220642217,0.668092,41711.3912267697,70.3532457924912,70.4213015678374,1.7147,83001.1333175061,77.5064559158957
1993-08-01,72.7969673843692,0.670338,42425.2619943443,70.686147586462,69.0549181045809,1.6957,112142.251202148,77.5064559158957
1993-09-01,82.5341413657179,0.65617,42887.2835029978,71.0190493804328,81.4574756941403,1.62264,93792.7312232922,77.4064459523838
1993-10-01,84.0179012104949,0.6726307,42701.2349727507,71.0190493804328,79.9859858106332,1.63802,85729.0509715078,77.4064459523838
1993-11-01,89.4892656381099,0.675372,42225.9973352727,70.7971148511189,80.9319435928878,1.7,86575.6714223254,77.5064559158957
1993-12-01,82.9978163172107,0.67121094,41334.6671283929,71.0190493804328,78.3042830866252,1.70974,85568.9913972623,77.7064758429195
1994-01-01,80.0302966276568,0.66994,41767.1327379867,71.0190493804328,70.0008758868354,1.74312,88943.1403049524,78.1065156969672
1994-02-01,82.6268763560165,0.67635477,42260.9209607567,71.2409839097466,73.0489620741,1.73722,86843.7818696019,78.7065641762009
1994-03-01,94.1260151530379,0.67079729,43698.4524435102,71.4629184390605,85.0310939826574,1.69233,88245.7259419122,78.8065628378749
1994-04-01,82.3486713851208,0.67451936,44446.2680526082,72.0177547623451,75.0459840588596,1.69824,89195.1383710839,78.9065728013868
1994-05-01,83.9251662201963,0.66538465,44551.7432499468,72.239689291659,76.0970482613646,1.6578,90486.6404512096,79.1065927284107
1994-06-01,84.4815761619877,0.6559369,45229.9986790879,72.239689291659,81.5625821143908,1.6291,92471.5590375984,79.2066026919226
1994-07-01,78.5465367828799,0.64723063,45458.1462665543,71.7958202330313,72.418323552597,1.57086,91675.221968431,79.4066113171085
1994-08-01,79.8448266470597,0.64825541,45486.4610930148,72.239689291659,71.8927914513445,1.5646,92921.1513465661,79.6066312441324
1994-09-01,87.7273008224373,0.63960594,45969.9850517839,72.3506565563159,84.0851362004029,1.55089,93841.6798751042,79.4066113171085
1994-10-01,88.7473857157214,0.62274808,47211.9086726741,72.239689291659,81.2472628536393,1.5184,94125.9100974462,79.3066013535966
1994-11-01,93.2914002403508,0.62921345,46155.2540147772,72.3506565563159,85.0310939826574,1.53869,91460.3276316865,79.4066113171085
1994-12-01,85.9653360067646,0.64113277,46326.6691240768,72.6835583502867,81.8779013751423,1.57228,86201.0169865215,79.6066312441324
1995-01-01,84.2961061813905,0.63501203,45665.1120315896,72.6835583502867,74.7306647981081,1.5324,87584.7534911213,79.9066498328303
1995-02-01,85.9927439117363,0.63628006,46142.3982025414,72.9054928796005,75.3613033196111,1.5018,88759.8296506342,80.3066896868779
1995-03-01,97.1548342429586,0.62491667,47827.0880682749,73.2383946735713,87.7638609091705,1.40656,91943.0672202404,80.3066896868779
1995-04-01,82.5994684510447,0.62171066,48162.3433787153,73.682263732199,74.2051326968555,1.38059,91398.4298922426,80.4066996503899
1995-05-01,86.4392275249852,0.62984425,47860.3976856186,74.0151655261698,81.2472628536393,1.40766,91906.6738720867,80.4066996503899
1995-06-01,85.8141504664368,0.62704575,48383.6598619179,74.1261327908267,80.5115179118858,1.40032,92702.2880541057,80.5067096139018
1995-07-01,80.6349405527496,0.62708867,48905.9777625636,73.9041982615128,73.9949198563545,1.38936,93012.9550630948,80.7067182390877
1995-08-01,81.3493143339478,0.63728833,47177.5916106982,74.2371000554836,72.628536393098,1.44511,91165.3974615054,80.7067182390877
1995-09-01,86.4392275249852,0.6422044,47934.5737734797,74.5700018494544,82.4034334763948,1.46227,93012.3252285939,80.7067182390877
1995-10-01,90.9040636574741,0.63341278,48187.7682589643,74.4590345847975,81.0370500131383,1.4143,93368.5211712022,80.5067096139018
1995-11-01,93.761558782267,0.6395278,47526.5013836048,74.4590345847975,85.7668389244109,1.41648,93734.1174103706,80.5067096139018
1995-12-01,84.5639963493399,0.64968604,47257.6082978559,74.9029036434252,76.4123675221161,1.44074,94553.8743157648,80.8067395044376
1996-01-01,87.4214914741328,0.65355223,44101.0417970162,74.7919363787683,75.2561968993606,1.46165,93498.1305914617,81.0067481296235
1996-02-01,90.1896898762759,0.6510129,44688.3347349467,75.124838172739,76.5174739423666,1.4661,94389.947385971,81.5067866453452
1996-03-01,95.2796030673132,0.65480763,44675.3269454165,75.3467727020529,81.7727949548918,1.4777,94585.3607692269,81.5067866453452
1996-04-01,85.724853743787,0.65993679,44606.1654106773,75.7906417606806,77.6736445651222,1.50608,94965.1519557386,81.5067866453452
1996-05-01,87.4214914741328,0.66030395,44614.7089842398,76.1235435546514,77.6736445651222,1.53336,93266.3961180691,81.606807910695
1996-06-01,83.1352487869434,0.64840972,44611.76378138,76.2345108193083,77.6736445651222,1.52737,94015.9003541749,81.7068065723691
1996-07-01,84.3854029040403,0.64365441,48012.1667169836,75.7906417606806,78.6196023473767,1.50496,93304.1123366448,81.806816535881
1996-08-01,79.8312700489016,0.64531147,47787.6547789975,76.2345108193083,71.6825786108435,1.4828,93693.4869523688,81.806816535881
1996-09-01,86.8857111382341,0.64134496,43248.7066467457,76.5674126132791,82.8238591573968,1.50583,93948.5377535183,81.806816535881
1996-10-01,94.3866358408154,0.63091362,46164.033159159,76.678379877936,84.9259875624069,1.52826,94895.1057112364,81.806816535881
1996-11-01,92.8685915557692,0.60141075,45757.7178345191,76.7893471425929,84.6106683016554,1.51169,95270.595891675,81.7068065723691
1996-12-01,86.6178209702848,0.60084063,45373.2208598396,77.0112816719068,75.8868354208636,1.55149,91981.6186740215,82.0068364629048
1997-01-01,89.6539095403772,0.60253245,41331.5782327156,76.7893471425929,75.1510904791101,1.6043,89976.826100217,82.7068949056504
1997-02-01,88.0058597326497,0.615098,40653.9037397532,76.9003144072499,75.5715161601121,1.67467,88697.1999100887,82.8068935673244
1997-03-01,92.4006592199232,0.62296027,40031.8919670087,77.0112816719068,78.8298151878777,1.69686,88323.5171682063,82.8068935673244
1997-04-01,91.4118293352866,0.61390889,39941.9748524548,77.3441834658776,85.3464132434089,1.71096,88493.5326263302,82.7068949056504
1997-05-01,88.3354696941952,0.61228693,40299.8354885267,77.6770852598483,74.3102391171061,1.70325,89603.9416488619,82.9069148326742
1997-06-01,89.8736495147409,0.60832775,39994.781998337,77.7880525245053,85.3464132434089,1.72731,88619.71718441,83.0069134943483
1997-07-01,91.9611792711957,0.59842592,39482.9328449561,77.6770852598483,83.7698169396514,1.79193,85492.7427175531,83.7069832389317
1997-08-01,82.4024903863762,0.62376559,39800.0394373342,78.0099870538191,70.4213015678374,1.8424,84934.953204266,83.8069819006058
1997-09-01,94.1585790148324,0.62517273,40071.2973991347,78.231921583133,86.9230095471665,1.79056,84948.3177350689,83.6069619735819
1997-10-01,100.640908258561,0.61311686,38254.5768725216,78.3428888477899,88.6047122711745,1.75667,85440.1084550195,83.5069633119079
1997-11-01,95.9164988097418,0.59252793,37756.951873959,78.3428888477899,86.817903126916,1.7331,84902.9924008956,83.5069633119079
1997-12-01,94.488188976378,0.60191005,37125.8153320777,78.4538561124468,80.9319435928878,1.77666,85224.6650643064,83.7069832389317
1998-01-01,91.3019593481048,0.61152768,35215.7195702917,78.120954318476,77.1481124638696,1.81668,84262.6601129355,83.7069832389317
1998-02-01,92.1809192455595,0.60999835,35313.3969149838,78.3428888477899,79.5655601296312,1.81415,85281.3278780529,83.9069918641177
1998-03-01,103.387657938107,0.60208058,34205.8529122978,78.5648233771037,91.4425856179381,1.82669,85488.1377206645,83.8069819006058
1998-04-01,93.7190990661051,0.59811586,35271.6531673355,79.0086924357314,84.0851362004029,1.81471,86956.0317961499,83.9069918641177
1998-05-01,90.42299945065,0.61068243,35169.2509497783,79.3415942297022,80.9319435928878,1.77458,87535.2194678554,84.0070018276296
1998-06-01,96.2461087712873,0.6061939,34992.5800098001,79.2306269650453,85.6617325041604,1.79172,87346.5220582248,84.1070117911415
1998-07-01,93.9388390404688,0.6084584,35622.4594353131,79.0086924357314,87.238328807918,1.7979,87023.8065686838,84.4070303798394
1998-08-01,86.0281999633766,0.6130118,35660.569221002,79.2306269650453,74.7306647981081,1.7886112,87925.1907881653,84.2070104528156
1998-09-01,97.8941585790148,0.59516585,36740.6308468054,79.5635287590161,89.5506700534291,1.70295,90016.6606750461,84.0070018276296
