Date,International_Reserves_US,CPI_Index_US,Industrial_Production_Index_France,Exchange_Rate_France,International_Reserves_France,CPI_Index_France,Nominal_Exchange_Growth,Real_Exchange_Rate,Real_Exchange_Growth,Real_Exchange_Index,France_Inflation,Industrial_Production_Growth,Industrial_Production_YoY,France_Reserves_Index,US_Inflation,US_Reserves_Index,Variable
1973-03-01,13201.4117289419,19.8573298999567,73.8666741014399,4.5063313958139,11181.6271804555,17.9698358232592,-0.054256230005600314,4.979662031713501,-0.05035838097056344,-3.617484386867136,0.005181191089271842,0.0008302200083021294,0.08489575521223891,637.5875090067798,0.009324009324011895,61.464523067412394,
1973-04-01,13172.7851531187,19.9949095528432,71.5892970345768,4.55394143652051,11461.316727464,18.0933431874571,0.010565144132727688,5.032549606160966,0.01062071564508682,0.7629370182872902,0.0068730379850237,-0.030830913866997878,0.056040976197650805,653.5356853047772,0.006928406466510939,61.33124044081507,
1973-05-01,13184.8867274044,20.1324892057297,74.5100586539618,4.4760753773097,11608.5240983286,18.2631578947368,-0.01709860794132323,4.9342254903074485,-0.019537634707693097,-1.4034821443665337,0.009385479815439579,0.0407988587731809,0.10578963322218904,661.9295960820076,0.006880733944952366,61.3875842248821,
1973-06-01,13183.1597233707,20.2700688586163,73.6930623967911,4.26039536487135,11591.8305704455,18.402101039962,-0.04818507157669494,4.692861278358152,-0.048916331939717894,-3.513895078520825,0.007607837922993799,-0.010964912280702621,0.09549111887050099,660.977714509876,0.0068337129840576605,61.379543457618226,
1973-07-01,13187.8644703454,20.3159287429118,63.4091220096558,4.05597241955206,11599.7397929498,18.5564799662144,-0.0479821537232995,4.440542969833806,-0.0537664110567152,-3.862299557430978,0.008389201098132792,-0.13955099778270452,0.0892982456140341,661.428706247779,0.002262443438913575,61.40144831407527,
1973-08-01,13193.4136590849,20.6828078172759,45.7007281354823,4.25043566965614,11236.8629608153,18.6799873304123,0.04794491431121606,4.7061565160736105,0.05981555590030596,4.296838686843791,0.006655753915762341,-0.27927202448059296,0.10603064755313829,640.7371081697003,0.01805869074492117,61.42728481143537,
1973-09-01,13197.9977715218,20.7286677015714,71.4769600492158,4.26148470145153,11222.8750242691,18.849802037692,0.002599505710501493,4.6862508218964205,-0.004229713590953255,-0.3038406434300806,0.009090729253506069,0.5640223463687155,0.05901044030866931,639.9395021080148,0.002217294900221045,61.44862800490639,
1973-10-01,14367.4612494209,20.9121072387534,75.1534432064837,4.21620710027052,10136.2979689249,19.0504988650161,-0.01062484189268309,4.628213447132536,-0.012384607006672765,-0.8896458071261697,0.010647158358628062,0.05143591941706016,0.06282495667244326,577.9817971264213,0.008849557522121687,66.89353923028992,
1973-11-01,14372.7691690847,21.04968689164,77.0835968640493,4.40781064064917,8549.87954706904,19.2203135722958,0.04544452770509211,4.827342359129967,0.04302500614374294,3.0906928493358836,0.008913924432264908,0.02568283734202992,0.07063829787234055,487.52264001899033,0.006578947368424126,66.91825240167752,
1973-12-01,14377.9564542107,21.1872665445265,74.1628352446643,4.59622190580486,8528.67446835475,19.3438209364937,0.04274486372398756,5.034236976023761,0.04285890693095218,3.078761145072144,0.0064258766504163845,-0.03789083200847887,0.016802016241948214,486.3135053288828,0.006535947712416723,66.94240391007911,
1974-01-01,14565.3941164779,21.3707060817086,76.2666006068787,5.02386335116925,8281.92743911807,19.6680145700259,0.014387738742313694,5.458787245161384,0.014216829071068249,6.058015381561728,0.009884951620921734,-0.005153236036376463,0.03932670343023159,474.32980666657284,0.009705742096549952,67.55977543926699,
1974-02-01,14643.1558030317,21.6458653874816,78.3703659690931,4.953683063603,8108.34863451396,19.9304650794489,-0.013969386239360171,5.380042881064717,-0.014425248788815681,-1.0362349079633433,0.013344026591427083,0.027584359935725944,0.06185139061851497,462.34610800426293,0.01287553648068318,68.17714696845485,
1974-03-01,14588.2573773174,21.9210246932547,76.4402123115274,4.82113585984096,8126.43307869043,20.1620334688275,-0.026757304022117512,5.2417450053590935,-0.0257057199659817,-1.846565335062581,0.011618815138306982,-0.024628616106334045,0.034840315221899676,463.3773010075855,0.01271186440678096,67.92154509624875,
1974-04-01,14642.0241908209,22.0127444618457,76.675098735464,4.86831215641246,8125.03371805179,20.4862271023597,0.009785307434388768,5.231071144733172,-0.0020363181755328474,-0.14627851540719275,0.016079411535222077,0.0030728122912497824,0.07104136947218276,463.29750807142386,0.004184100418408887,68.17187828914523,
1974-05-01,14869.4807927516,22.2879037676188,76.6138240161762,4.86854917258367,8143.55304974914,20.7332418307554,4.8685491725874996e-05,5.233612588529359,0.00048583621324782555,0.034899948769719094,0.0120575998284842,-0.0007991475759191458,0.028234649122807154,464.35349879395693,0.012500000000001288,69.230894691577,
1974-06-01,14946.2171460284,22.4713433048008,76.1440511683031,4.90003920055371,8168.03806093375,20.9648102201341,0.006468051744731307,5.2521564434137655,0.0035432226919220877,0.2545267047944588,0.011168942670373605,-0.006131698213809544,0.03325942350332722,465.7496584974825,0.008230452674895083,69.58817188684475,
1974-07-01,14911.9068463669,22.6547828419829,66.5647700529774,4.76553564643374,8308.83591645394,21.2272607295571,-0.027449485323458367,5.086015410615706,-0.031632917752555056,-2.2723444216328192,0.012518620806352354,-0.12580472103004314,0.049766468030278954,473.778092331471,0.008163265306124767,69.42842638020542,
