Date,International_Reserves_US,CPI_Index_US,Industrial_Production_Index_France,Exchange_Rate_France,International_Reserves_France,CPI_Index_France
1969-07-01,15935.8,16.8764374207484,52.1243612074864,4.93706000393706,3594.85,14.6742543419733
1969-08-01,16195.1,16.9681571893394,32.4347514096741,5.55419000455419,3781.85,14.7080715831706
1969-09-01,16743.2,17.0140170736349,56.4544413704908,5.55419000455419,4006.0,14.7869608826479
1969-10-01,16315.8,17.105736842226,60.3658109516952,5.55419000455419,3913.0,14.8771261151877
1969-11-01,16000.3,17.197456610817,59.0790418466514,5.55419000455419,3989.0,14.9447500395925
1969-12-01,16963.6,17.289176379408,59.6100894138123,5.55419000455419,3833.0,14.9898326558623
1970-01-01,17396.53,17.3350362637035,59.6100894138123,5.55419000455419,4050.48,15.1138045716096
1970-02-01,17669.63,17.4267560322945,61.4789683520901,5.55419000455419,4122.48,15.1601224726812
1970-03-01,17350.63,17.5184758008856,61.3666313667292,5.55419000455419,4126.48,15.2064298157631
1970-04-01,16918.71,17.6560554537721,62.234689889973,5.55419000455419,4197.44,15.2836192788893
1970-05-01,16164.89,17.7019153380676,59.9062505570367,5.55419000455419,4307.44,15.3453729609882
1970-06-01,16328.29,17.7936351066586,60.6006973756317,5.55419000455419,4447.44,15.4071266430871
1970-07-01,16065.39,17.8853548752497,53.5336797511057,5.55419000455419,4657.44,15.4380087631315
1970-08-01,15795.79,17.8853548752497,34.303630347952,5.55419000455419,4713.44,15.4997518872407
1970-09-01,15527.69,17.9770746438407,59.7837011184611,5.55419000455419,4743.44,15.5615055693396
1970-10-01,15119.89,18.0687944124317,62.3572393285486,5.55419000455419,4784.44,15.6232592514385
1970-11-01,14890.29,18.1605141810227,62.4185140478364,5.55419000455419,4957.44,15.6850129335375
1970-12-01,14486.89,18.2522339496137,63.4091220096558,5.55419000455419,4960.44,15.7313308346091
1971-01-01,14698.99,18.2522339496137,61.4176936328023,5.55419000455419,5345.94,15.8239560787626
1971-02-01,14533.79,18.2980938339093,63.7052831528801,5.55419000455419,5403.94,15.9011455418888
1971-03-01,14341.59,18.3439537182048,64.3384552521873,5.55419000455419,5490.44,15.9628992239877
1971-04-01,14307.13,18.3898136025003,63.7563454189533,5.55419000455419,5561.5,16.0555244681413
